image_id,dimension,modality,within_mean,cross_mean,n_matched_pairs
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,gender,perception,0.2287849044379657,0.21648826719576716,12
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,economic_status,caption,0.8736012121249471,0.8499766593397237,12
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,economic_status,justification,0.6166704096709258,0.5101757880434902,12
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,economic_status,perception,0.22878490443796562,0.11020686507936506,12
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,political_spectrum,caption,0.8736012121249472,0.8601952722301996,12
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,political_spectrum,justification,0.6166704096709257,0.5826328785767565,12
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,political_spectrum,perception,0.2287849044379656,0.19968862433862433,12
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,personality,caption,0.8736012121249471,0.8639812441451542,24
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,personality,justification,0.6166704096709258,0.5666139104574499,24
1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,personality,perception,0.22878490443796565,0.17764103835978837,24
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,gender,caption,0.9593809962513008,0.958219654177561,12
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,gender,justification,0.6550444015667044,0.6459602643660984,12
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,gender,perception,0.4807181223679948,0.45437243764172336,12
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,economic_status,caption,0.9593809962513008,0.9583194122164821,12
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,economic_status,justification,0.6550444015667045,0.5472813941175781,12
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,economic_status,perception,0.4807181223679948,0.41406371828096317,12
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,political_spectrum,caption,0.9593809962513008,0.9586483782597925,12
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,political_spectrum,justification,0.6550444015667045,0.5614265664740489,12
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,political_spectrum,perception,0.48071812236799477,0.41676062682215737,12
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,personality,caption,0.9593809962513008,0.9573242481243485,24
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,personality,justification,0.6550444015667045,0.6034511099592611,24
1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,personality,perception,0.4807181223679948,0.399380715500486,24
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,gender,caption,0.9386661137020026,0.9287252769476471,12
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,gender,justification,0.73887498155647,0.7301149356698075,12
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,gender,perception,0.5165313816002591,0.5006971428571428,12
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,economic_status,caption,0.9386661137020025,0.9193097106075934,12
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,economic_status,justification,0.73887498155647,0.6482970500148303,12
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,economic_status,perception,0.5165313816002591,0.43898480158730163,12
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,political_spectrum,caption,0.9386661137020025,0.921400466903489,12
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,political_spectrum,justification,0.73887498155647,0.6162139862797494,12
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,political_spectrum,perception,0.5165313816002591,0.42229337301587305,12
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,personality,caption,0.9386661137020026,0.921608142228011,24
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,personality,justification,0.7388749815564699,0.6865537424024953,24
1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,personality,perception,0.5165313816002591,0.46414803571428576,24
